,ratio,index,dataset,time [hrs],rmse,r2
30,0.05,8.0,Sobol1,0.5966757909456889,21.774815515819768,0.9447669005211872
31,0.05,8.0,Sobol2,0.7603715413808823,25.138930077913283,0.9246619992913045
32,0.05,9.0,Grid1296,0.25106353408760496,372.6047272919081,-12.38724506453466
33,0.05,9.0,Grid2401,0.9432035228278902,467.4517218549878,-18.7369842633004
34,0.05,9.0,Sobol1,2.516788436770439,21.483916408560393,0.9463480114374657
35,0.05,9.0,Sobol2,2.391787388390965,24.996587512330557,0.925404056915517
36,0.05,10.0,Grid1296,0.11152866489357419,357.38144336081615,-11.287268663893624
37,0.05,10.0,Grid2401,0.5544971199830373,487.5073068849405,-20.531291494934035
38,0.05,10.0,Sobol1,1.64034805185265,21.35458153352857,0.9472950010772498
39,0.05,10.0,Sobol2,1.8341516691446305,25.035871751445335,0.9248279545662007
40,0.05,11.0,Grid1296,0.13643227603700425,368.73799994740125,-12.103900602743037
41,0.05,11.0,Grid2401,0.4988018657101525,491.4915949086916,-20.847059731717646
42,0.05,11.0,Sobol1,0.9265889823436737,21.76723428681664,0.9448962944617239
43,0.05,11.0,Sobol2,1.1083191921313604,25.741814965144197,0.920294914401232
